166,N67134965,48.0947482,11.6426409,Therese-Giehse-Allee
167,N68655296,48.1179001,11.6084037,Karl-Preis-Platz
162,N69453708,48.1662806,11.5905965,ESSO
162,N70919683,48.1788519,11.4869177,Allguth
162,N70920072,48.1772376,11.4969889,toom
78,N70920643,48.1798745,11.4870192,Ernst & Wolfgang Müller
162,N70921252,48.1717363,11.5070295,Esso
162,N70921750,48.1777137,11.4673740,AGIP
14,N70924276,48.1645093,11.4770316,Postfiliale
162,N70924645,48.1649558,11.4673026,Shell
161,N73679500,48.1155642,11.6142384,Ramersdorf
166,N73706462,48.0950104,11.4993303,Forstenrieder Allee
166,N73712339,48.0912349,11.4912395,Basler Straße
166,N73736211,48.1168324,11.5379444,Harras
166,N73745334,48.1168990,11.5266191,Partnachplatz
166,N73778052,48.1125954,11.5875077,Untersbergstraße
167,N73783822,48.1294285,11.5741025,Fraunhoferstraße
167,N73793044,48.1130998,11.5716454,Candidplatz
167,N73800960,48.1044305,11.5813957,Sankt-Quirin-Platz
167,N73800962,48.0970601,11.5791773,Mangfallplatz
34,N76027115,48.1815568,11.5845746,Möwenapotheke
29,N77925557,48.1883367,11.5871486,Bistro Lange Ltd.
24,N78046359,48.1258561,11.5265389,Hopfengarten
144,N78402190,48.1301415,11.5579533,Royal Filmpalast
161,N81423985,48.1507827,11.4750335,Schmaedelstraße
46,N82540230,48.0891110,11.6424338,Stadtsparkasse München
46,N82540819,48.1017805,11.6458673,Stadtsparkasse München
46,N82563860,48.1358333,11.5982585,Stadtsparkasse München
46,N82567037,48.0997172,11.5246389,Stadtsparkasse München
168,N82762920,48.1393090,11.5465872,Holzapfelstraße
168,N82762925,48.1386864,11.5651504,Karlsplatz (Stachus)
29,N82772295,48.1384050,11.5456411,Marietta Cucina
46,N82772297,48.1388502,11.5500212,Sparda-Bank
29,N82772298,48.1392055,11.5456469,Augustiner Bräustuben
29,N82772299,48.1469522,11.5349382,Peaches
29,N82772303,48.1685597,11.5265046,Gerners
46,N83102025,48.1333679,11.5672569,Kreissparkasse München
167,N84322745,48.1627900,11.5291128,Gern
167,N84322749,48.1540566,11.5330578,Rotkreuzplatz
167,N84322751,48.1499883,11.5456047,Maillingerstraße
167,N84322752,48.1478960,11.5569774,Stiglmaierplatz
162,N84633871,48.0985128,11.5186508,ARAL
29,N86673907,48.1293429,11.6013051,Haidhauser Augustiner
138,N87331710,48.1244919,11.6062866,Whitebox
26,N87331718,48.1269482,11.6064944,Burger King
34,N87636374,48.0992499,11.5196821,Olympia-Apotheke
88,N87636378,48.0992269,11.5193851,steht leer
162,N90140693,48.1807385,11.4608883,Süd-Treibstoff
162,N90221371,48.2018911,11.5861558,Aral
24,N92666829,48.1044802,11.5347169,Augustiner Schützengarten
29,N92666832,48.1042541,11.5344051,Augustiner Schützengarten
166,N96886958,48.2118139,11.6168850,Fröttmaning
167,N99185841,48.0888479,11.6449679,Neuperlach Süd
167,N99191054,48.1149039,11.5804329,Silberhornstraße
166,N99202259,48.1290795,11.5576102,Goetheplatz
166,N99202271,48.1201976,11.5485241,Implerstraße
46,N99874725,48.0995369,11.5276296,Commerzbank
29,N100269010,48.0817888,11.5451926,Gutshof Menterschwaige
161,N102843123,48.1566478,11.5886433,Thiemestraße
161,N107997549,48.1771022,11.4076612,Lochhausen Bahnhof
162,N108292331,48.1405285,11.6799205,Sprint
162,N108292335,48.1405254,11.6839603,Aral
74,N108292341,48.1400446,11.6787324,Aumüller
50,N108292344,48.1398793,11.6815674,St. Martin Riem
29,N108292355,48.1396234,11.6816237,San Martino
85,N112565924,48.1891008,11.5816175,Haus der Reise
14,N115722773,48.1397166,11.5614726,Post
24,N118252923,48.1498010,11.5855374,Milchhäusl
144,N125087548,48.1396565,11.5664942,Gloria
161,N128581279,48.1232166,11.6662873,Bajuwarenstraße
29,N129970464,48.1385228,11.6482856,La Romantica
29,N135611656,48.1232444,11.5953957,Tassilogarten
162,N135644382,48.1221603,11.5979794,V-Markt
34,N135751208,48.0907059,11.5562737,Rondell Apotheke
29,N138009689,48.0860693,11.5402277,Gasthof Hinterbrühl
14,N140549949,48.1938060,11.4658863,Post
29,N146023572,48.1087336,11.5575248,Flaucherbiergarten
65,N158712415,48.1698523,11.5516289,Olympiaberg
147,N158737331,48.1672232,11.5486553,Väterchen Timofei
24,N162723561,48.1631633,11.5323979,Taxisgarten
152,N162748517,48.1574787,11.5753003,Schauburg
162,N171476917,48.1791511,11.5087040,SB Tankstelle
161,N171477060,48.1727925,11.5044197,Skagerrakstraße
29,N171477238,48.1732136,11.4932036,Neue Fasanerie
165,N171541924,48.1775887,11.4969537,Super Wash 2000
46,N173668706,48.1548973,11.5664226,Stadtsparkasse München
34,N173668710,48.1548006,11.5668048,Adelheid-Apotheke
34,N173671753,48.1380825,11.5612128,City-Apotheke
46,N173671765,48.1395782,11.5613643,Commerzbank
34,N173671784,48.1399858,11.5623796,Europa-Apotheke
28,N181328634,48.1572364,11.5747755,Wintergarten am Elisabethmarkt
161,N184048006,48.1332115,11.7039259,Messestadt Ost
167,N184087374,48.1439458,11.6777794,Riem
34,N186969956,48.1510040,11.4353554,Hellenstein Apotheke
25,N196212074,48.1319808,11.5881662,Cafe Restaurant im Müllerschen Volksbad
24,N196216198,48.1329449,11.5890485,Biergarten an der Muffathalle
34,N197630081,48.1816351,11.4759366,Angerloh-Apotheke
29,N197903310,48.1584509,11.4237873,Aubinger Wirtshaus beim SV Aubing
46,N198181878,48.1645653,11.4704464,Stadtsparkasse München
26,N198190108,48.1891764,11.5026071,Burger King
29,N198195528,48.1813887,11.5116360,Bella Italia
26,N198196636,48.1814141,11.5119507,Hot Wok
11,N198200532,48.1817693,11.5290142,Stadtteilbibliothek Moosach
26,N198204777,48.1840721,11.5310086,McDonald's
26,N198209365,48.1782385,11.5295482,KFC
162,N198211094,48.1765262,11.5357705,Allguth
26,N198212895,48.1756612,11.5594734,Pizza Hut
168,N199132942,48.1555840,11.5402561,Albrechtstraße
168,N199132948,48.1614590,11.5534794,Infanteriestraße
168,N199132961,48.1713217,11.5729756,Scheidplatz
